Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,lat,lng
India,Mirganj,168,Unhealthy,4,Good,168,Unhealthy,1,Good,165,Unhealthy,26.3638,84.364
Dominican Republic,Moca,74,Moderate,1,Good,12,Good,10,Good,74,Moderate,19.3833,-70.5167
Italy,Modugno,62,Moderate,1,Good,45,Good,3,Good,62,Moderate,41.0833,16.7833
Russian Federation,Mogocha,31,Good,1,Good,31,Good,0,Good,20,Good,53.7333,119.7667
Spain,Moncada,28,Good,1,Good,28,Good,1,Good,27,Good,15.7331,120.5725
Spain,Moncada,28,Good,1,Good,28,Good,1,Good,27,Good,41.4867,2.1879
Spain,Moncada,28,Good,1,Good,28,Good,1,Good,27,Good,39.5456,-0.3956
Italy,Monfalcone,64,Moderate,1,Good,44,Good,2,Good,64,Moderate,45.8,13.5333
Mexico,Montemorelos,80,Moderate,1,Good,11,Good,2,Good,80,Moderate,25.1872,-99.8267
United States of America,Moorhead,50,Good,1,Good,43,Good,1,Good,50,Good,46.8673,-96.7461
Madagascar,Morondava,64,Moderate,1,Good,22,Good,0,Good,64,Moderate,-20.2847,44.3175
Italy,Mortara,74,Moderate,2,Good,32,Good,6,Good,74,Moderate,45.25,8.75
United States of America,Moses Lake,32,Good,1,Good,32,Good,1,Good,15,Good,47.1279,-119.2759
United Republic of Tanzania,Moshi,25,Good,1,Good,18,Good,0,Good,25,Good,-3.3349,37.3404
Czechia,Most,69,Moderate,1,Good,41,Good,2,Good,69,Moderate,50.5031,13.6367
India,Mulgund,55,Moderate,0,Good,22,Good,0,Good,55,Moderate,15.2807,75.5213
United States of America,Mundelein,55,Moderate,2,Good,26,Good,13,Good,55,Moderate,42.2693,-88.0102
Japan,Nagahama,55,Moderate,1,Good,55,Moderate,1,Good,40,Good,35.3833,136.2833
Kenya,Naivasha,60,Moderate,2,Good,23,Good,0,Good,60,Moderate,-0.7167,36.4333
Thailand,Nakhon Sawan,21,Good,0,Good,21,Good,0,Good,20,Good,15.7133,100.1353
Uzbekistan,Namangan,151,Unhealthy,1,Good,74,Moderate,0,Good,151,Unhealthy,41.0011,71.6683
Mozambique,Nampula,20,Good,0,Good,20,Good,0,Good,19,Good,-15.1167,39.2667
Japan,Narita,43,Good,1,Good,40,Good,1,Good,43,Good,35.7767,140.3183
United States of America,Natchez,85,Moderate,1,Good,17,Good,3,Good,85,Moderate,31.5437,-91.3867
Argentina,Necochea,23,Good,0,Good,23,Good,0,Good,17,Good,-38.55,-58.7333
Czechia,Neratovice,78,Moderate,1,Good,43,Good,2,Good,78,Moderate,50.2593,14.5177
Israel,Nesher,61,Moderate,1,Good,50,Good,4,Good,61,Moderate,32.7711,35.0394
Germany,Neuenkirchen,32,Good,0,Good,32,Good,1,Good,20,Good,52.2411,7.3689
Germany,Neuenkirchen,32,Good,0,Good,32,Good,1,Good,20,Good,52.5167,8.0667
Germany,Neuss,47,Good,1,Good,31,Good,3,Good,47,Good,51.2,6.7
United States of America,New Port Richey,63,Moderate,1,Good,27,Good,7,Good,63,Moderate,28.2468,-82.717
India,Nilakkottai,56,Moderate,1,Good,30,Good,0,Good,56,Moderate,10.17,77.87
Nigeria,Nkpor,166,Unhealthy,11,Good,18,Good,8,Good,166,Unhealthy,6.15,6.8333
